2024-10-22 17:38:29.020 INFO  56815 --- [Thread-5] o.s.o.j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2024-10-22 17:38:29.024 INFO  56815 --- [Thread-5] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
2024-10-22 17:38:29.037 INFO  56815 --- [Thread-5] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
2024-10-22 17:38:29.107 INFO  56815 --- [restartedMain] c.p.polychatbe.PolychatBeApplication : Starting PolychatBeApplication using Java 17.0.12 with PID 56815 (/Users/kuredogyon/Documents/PolyChat-BE/build/classes/java/main started by kuredogyon in /Users/kuredogyon/Documents/PolyChat-BE)
2024-10-22 17:38:29.107 INFO  56815 --- [restartedMain] c.p.polychatbe.PolychatBeApplication : No active profile set, falling back to 1 default profile: "default"
2024-10-22 17:38:29.242 INFO  56815 --- [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-10-22 17:38:29.262 INFO  56815 --- [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 19 ms. Found 14 JPA repository interfaces.
2024-10-22 17:38:29.343 INFO  56815 --- [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port 8000 (http)
2024-10-22 17:38:29.343 INFO  56815 --- [restartedMain] o.a.catalina.core.StandardService : Starting service [Tomcat]
2024-10-22 17:38:29.343 INFO  56815 --- [restartedMain] o.a.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.26]
2024-10-22 17:38:29.351 INFO  56815 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-10-22 17:38:29.351 INFO  56815 --- [restartedMain] o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 243 ms
2024-10-22 17:38:29.379 INFO  56815 --- [restartedMain] o.h.jpa.internal.util.LogHelper : HHH000204: Processing PersistenceUnitInfo [name: default]
2024-10-22 17:38:29.380 INFO  56815 --- [restartedMain] o.h.c.i.RegionFactoryInitiator : HHH000026: Second-level cache disabled
2024-10-22 17:38:29.382 INFO  56815 --- [restartedMain] o.s.o.j.p.SpringPersistenceUnitInfo : No LoadTimeWeaver setup: ignoring JPA class transformer
2024-10-22 17:38:29.382 INFO  56815 --- [restartedMain] com.zaxxer.hikari.HikariDataSource : HikariPool-2 - Starting...
2024-10-22 17:38:29.400 INFO  56815 --- [restartedMain] com.zaxxer.hikari.pool.HikariPool : HikariPool-2 - Added connection com.mysql.cj.jdbc.ConnectionImpl@343fdd4e
2024-10-22 17:38:29.400 INFO  56815 --- [restartedMain] com.zaxxer.hikari.HikariDataSource : HikariPool-2 - Start completed.
2024-10-22 17:38:29.401 WARN  56815 --- [restartedMain] org.hibernate.orm.deprecation : HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-10-22 17:38:29.471 INFO  56815 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-10-22 17:38:29.612 INFO  56815 --- [restartedMain] o.s.o.j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-10-22 17:38:29.938 WARN  56815 --- [restartedMain] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-10-22 17:38:29.979 INFO  56815 --- [restartedMain] o.s.s.web.DefaultSecurityFilterChain : Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@18252bd, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@67a22f8f, org.springframework.security.web.context.SecurityContextHolderFilter@125052d, org.springframework.security.web.header.HeaderWriterFilter@26e55040, org.springframework.web.filter.CorsFilter@2b36a49d, org.springframework.security.web.authentication.logout.LogoutFilter@432380af, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@44e11739, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@1b98d1f2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@697770ef, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@666dd772, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@767ce748, org.springframework.security.web.access.ExceptionTranslationFilter@61eddf0c, org.springframework.security.web.access.intercept.AuthorizationFilter@19dff339]
2024-10-22 17:38:30.050 INFO  56815 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-10-22 17:38:30.062 INFO  56815 --- [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port 8000 (http) with context path ''
2024-10-22 17:38:30.065 INFO  56815 --- [restartedMain] c.p.polychatbe.PolychatBeApplication : Started PolychatBeApplication in 0.975 seconds (process running for 259.422)
